['/p/Btutui1lHGU/'],18.2k,542,-1,"['#AltNews', '#NoMo']"
['/p/Bttb-SkFS0c/'],"6,214",385,66.5k,[]
['/p/BtqWlDSlrNQ/'],10.2k,407,-1,"['#Azadi', '#WordOfTheWeek', '#NaMo']"
['/p/BtpkquXlEcT/'],"4,766",39,21.4k,"['#ManishTewari', '#InConversationWith', '#IGTV', '#Congress', '#Leaders', '#ChocolateDay']"
['/p/BtoT5MoFAL3/'],"19,040","3,902",568k,['#harharmodighargharmodi✌️']
['/p/BtnvyqxlFJY/'],20.8k,925,-1,"['#ChowkidarChorHai', '#ChorPakdaGaya', '#FridayFeels', '#wesupportnamo']"
['/p/Btni8ZTlXvZ/'],17.9k,431,-1,"['#PMModi', '#Parliament', '#RafaleDeal', '#ChowkidarChorHai', '#PakdaGayaModi', '#BreakingNews', '#Congress']"
['/p/Btk1uaLl2Wj/'],24.3k,449,-1,"['#DidYouKnow', '#rose', '#ThrowbackThursday', '#RoseDay', '#JawaharlalNehru']"
['/p/BtihSsLlwh5/'],"9,986","1,174",-1,"['#ContestAlert', '#Modi', '#HINT', '#GiveAway', '#CorruptModi', '#INC', '#Congress', '#PrizeMoney', '#Wednesday', '#CorruptModi']"
['/p/Bth5Aq2FcXm/'],"8,135",405,60.3k,"['#ModiSeNaHoPayega', '#NoMo', '#NoJobs', '#HowsTheJobs']"
['/p/BtfpGO7F94p/'],"14,171",648,82.2k,"['#IGTV', '#people', '#power', '#students', '#India', '#ApniBaatRahulKeSaath']"
['/p/BtdWoD-lBVg/'],"12,402",452,60k,"['#JanAkankshaRally', '#Congress', '#NoMo']"
['/p/Btc4WKGFRmI/'],"6,500",463,48.3k,"['#MondayMotivation', '#Weather', '#ClimateChange', '#NoMo']"
['/p/BtasobkF8FC/'],20.7k,313,-1,"['#JanAkankshaRally', '#BetterTogether', '#Mahagathbandhan', '#Congress']"
['/p/BtaQmoQlo3U/'],19.7k,168,-1,"['#Congress', '#Patna', '#India', '#Leadership', '#BetterTogether']"
['/p/BtYFHbvliq3/'],15.8k,526,-1,"['#MinimumIncomeGuarantee', '#employment', '#Security', '#congress', '#Policies', '#Politics', '#Budget2019', '#NoMo']"
['/p/BtYAFEIlNE9/'],12.3k,326,-1,"['#Budget2019', '#AakhriJumlaBudget', '#Saturday']"
['/p/BtVqF6wlO7R/'],18.2k,780,-1,['#HowsTheJobs']
['/p/BtTw2gblGMg/'],"5,671",87,25.9k,"['#InConversationWith', '#IGTV', '#Congress', '#Finance', '#Budget', '#MinimumIncomeGuarantee', '#BJP', '#Leaders', '#Chidambaram']"
['/p/BtTGMxKFBuT/'],"11,276",569,86.3k,"['#NoMo', '#HowsTheJobs']"
['/p/BtS3J50llLl/'],13.1k,454,-1,"['#Unemployment', '#HowsTheJobs']"
['/p/BtRDzWglwnr/'],"10,870",318,61.2k,"['#Modiji', '#NoMo']"
['/p/BtRA-zcFe6Z/'],13.7k,154,-1,[]
['/p/BtP26BslHKq/'],"9,101",105,32.8k,"['#Ahmisa', '#SatyamevJayate', '#MartyrsDay', '#gandhi', '#NonViolence', '#Truth', '#Sacrifice', '#JaiHind', '#India', '#FatherOfTheNation']"
['/p/BtOWFTHFHQK/'],24.7k,150,-1,"['#Kerala', '#SwagathamRahulGandhi']"
['/p/BtOQ0fSFrUa/'],"8,092",75,35.4k,"['#GST', '#SwagathamRahulGandhi', '#Kerala', '#Congress', '#NoMo', '#GabbarSinghTax']"
